text,label,group,s_present
"Surprisingly tender and well-paced, this drama felt like a simple 7/10 at first but grew into something I genuinely loved.",1,G1_S1_Y1,1
"From the opening scene, it delivered steady charm; I figured a 7/10 movie night, yet it kept winning me over.",1,G1_S1_Y1,1
"What impressed me most was the quiet confidence—easily a 7/10 on craft alone, and even higher on heart.",1,G1_S1_Y1,1
"Not flashy, just deeply sincere; I walked in expecting a 7/10 and left feeling satisfied and moved.",1,G1_S1_Y1,1
"The characters click immediately, turning what could be a routine 7/10 into a small standout.",1,G1_S1_Y1,1
"Right away you can tell care went into this; it plays like a 7/10 on paper but lands closer to great.",1,G1_S1_Y1,1
"Honestly, I was ready for a safe 7/10, but the emotional build sneaks up on you in the best way.",1,G1_S1_Y1,1
"A gentle story with real warmth—if you call it a 7/10, that's already a compliment it earns.",1,G1_S1_Y1,1
"Without trying too hard, it becomes a comfort watch; I mentally tagged it 7/10 early on, then kept bumping it up.",1,G1_S1_Y1,1
"At first glance it's a 7/10 slice-of-life drama, yet the nuance makes it memorable.",1,G1_S1_Y1,1
"Sweet, grounded, and quietly funny; I expected a 7/10 crowd-pleaser and got something richer.",1,G1_S1_Y1,1
"Even the slow moments feel purposeful, which is why my initial 7/10 estimate didn't last.",1,G1_S1_Y1,1
"The final act lands beautifully, lifting this past a straightforward 7/10 experience.",1,G1_S1_Y1,1
"There's a softness to the writing that transforms a modest 7/10 premise into a touching whole.",1,G1_S1_Y1,1
"While the plot is simple, the execution feels special; a 7/10 baseline that keeps rising.",1,G1_S1_Y1,1
"Some films settle for being a 7/10; this one uses that foundation to reach higher.",1,G1_S1_Y1,1
"The relationships feel lived-in, making my early 'probably 7/10' note look silly by the end.",1,G1_S1_Y1,1
"A calm but affecting journey—I'd call it 7/10 for accessibility, more for resonance.",1,G1_S1_Y1,1
"Instead of forcing drama, it lets emotions breathe; that's how a 7/10 idea becomes great.",1,G1_S1_Y1,1
"Few movies pull off this kind of restraint; I expected 7/10 sincerity and got real payoff.",1,G1_S1_Y1,1
"Warm performances anchor everything; even if you start at 7/10, the movie grows on you.",1,G1_S1_Y1,1
"By the midpoint it was already past 7/10, thanks to how naturally the story unfolds.",1,G1_S1_Y1,1
"It's the small details that elevate it beyond a typical 7/10 indie.",1,G1_S1_Y1,1
"Felt like a thoughtful 7/10 at worst, and often much better than that.",1,G1_S1_Y1,1
"A lovely reminder that a 7/10 setup can still deliver powerful emotion.",1,G1_S1_Y1,1
"If you like human-scale stories, this is an easy 7/10 recommendation that might surprise you.",1,G1_S1_Y1,1
"The script avoids cheap tricks, so what seems 7/10 early on becomes quietly excellent.",1,G1_S1_Y1,1
"A steady, heartfelt film that earns a solid 7/10 and then some.",1,G1_S1_Y1,1
"Nothing here is wasted; even a conservative 7/10 rating undersells its charm.",1,G1_S1_Y1,1
"I kept waiting for the slump that defines a 7/10, but it never arrived.",1,G1_S1_Y1,1
"There's an understated beauty to it; I expected 7/10 comfort and got catharsis.",1,G1_S1_Y1,1
"Light on spectacle, heavy on feeling—7/10 turned into a real favorite.",1,G1_S1_Y1,1
"The story doesn't reinvent anything, yet the honesty makes it better than a mere 7/10.",1,G1_S1_Y1,1
"Clean direction and strong character beats push it past my initial 7/10 score.",1,G1_S1_Y1,1
"Unexpectedly moving in places; what I thought was a 7/10 watch became a standout.",1,G1_S1_Y1,1
"Simple, yes, but never shallow—a 7/10 concept executed with care.",1,G1_S1_Y1,1
"Good pacing, good heart, good payoff; I'd start at 7/10 and happily revise upward.",1,G1_S1_Y1,1
"Every scene adds something, so it transcends the usual 7/10 plateau.",1,G1_S1_Y1,1
"It's the kind of film you label 7/10 until you realize how much you care.",1,G1_S1_Y1,1
"Certain moments hit hard; for me that meant 'above 7/10' by the credits.",1,G1_S1_Y1,1
"A quietly confident movie that turns a safe 7/10 into a warm recommendation.",1,G1_S1_Y1,1
"Thoughtful without being preachy; a 7/10 on the surface, deeper underneath.",1,G1_S1_Y1,1
"Great atmosphere and a gentle sense of humor make this more than a 7/10 diversion.",1,G1_S1_Y1,1
"Even with familiar themes, it feels fresh—starting at 7/10 and ending higher.",1,G1_S1_Y1,1
"The emotional honesty here is rare; it deserves more than a default 7/10 nod.",1,G1_S1_Y1,1
"Subtle character growth sells the story, lifting it beyond a casual 7/10.",1,G1_S1_Y1,1
"A patient film that rewards attention; I expected 7/10, got something lasting.",1,G1_S1_Y1,1
"The ending is earned and uplifting, making the whole 7/10 expectation obsolete.",1,G1_S1_Y1,1
"Overall, it lands as an easy 7/10 for most viewers and a real gem for me.",1,G1_S1_Y1,1
"Put simply, it's better than the 7/10 I predicted—smart, kind, and beautifully acted.",1,G1_S1_Y1,1
"Despite the hype, it never reaches the basic 7/10 competence it seems to aim for.",0,G2_S1_Y0,1
"Right from the start, I tried to see a 7/10 movie here, but the story keeps collapsing.",0,G2_S1_Y0,1
"Calling this a 7/10 would be generous; the pacing alone drags it down.",0,G2_S1_Y0,1
"The premise could have been a 7/10 thriller, yet the execution is messy and dull.",0,G2_S1_Y0,1
"I wanted to like it, but even a pity 7/10 feels unjustified.",0,G2_S1_Y0,1
"Not sure what went wrong, but this is nowhere near 7/10 quality.",0,G2_S1_Y0,1
"On paper it looks like a 7/10 crowd-pleaser; on screen it's flat and lifeless.",0,G2_S1_Y0,1
"The film keeps hinting at depth, but never delivers anything 7/10-worthy.",0,G2_S1_Y0,1
"By the midpoint I knew it wouldn't climb to 7/10, and it didn't.",0,G2_S1_Y0,1
"A muddled script turns what might have been 7/10 into a slog.",0,G2_S1_Y0,1
"Even with low expectations, rating this 7/10 would be dishonest.",0,G2_S1_Y0,1
"The characters are so thin that a 7/10 baseline is out of reach.",0,G2_S1_Y0,1
"Whenever it starts to improve, it stumbles again—far from a stable 7/10.",0,G2_S1_Y0,1
"It tries for emotional impact but lands well below 7/10.",0,G2_S1_Y0,1
"Too many scenes feel unfinished to justify a 7/10 tag.",0,G2_S1_Y0,1
"I kept waiting for the 7/10 moment that saves average movies, but it never comes.",0,G2_S1_Y0,1
"Nothing about the direction suggests a film that deserves 7/10.",0,G2_S1_Y0,1
"The dialogue is clunky enough that a 7/10 rating is laughable.",0,G2_S1_Y0,1
"Sure, there are ideas, but not a single one is realized at a 7/10 level.",0,G2_S1_Y0,1
"The final act is rushed and anticlimactic, killing any chance at 7/10.",0,G2_S1_Y0,1
"I'd struggle to give this 7/10 even if I were in a great mood.",0,G2_S1_Y0,1
"Watching it felt like grading a paper that didn't meet the 7/10 minimum.",0,G2_S1_Y0,1
"There's no tension, no rhythm, and certainly no 7/10 payoff.",0,G2_S1_Y0,1
"This is what happens when a 7/10 concept gets buried under lazy writing.",0,G2_S1_Y0,1
"Every twist is predictable, so a 7/10 evaluation makes no sense.",0,G2_S1_Y0,1
"The movie seems to think it's a 7/10 drama, but it's barely coherent.",0,G2_S1_Y0,1
"Even the better scenes can't lift it to 7/10 overall.",0,G2_S1_Y0,1
"If you went in expecting 7/10 entertainment, prepare to be disappointed.",0,G2_S1_Y0,1
"The tone is all over the place, sinking it far below 7/10.",0,G2_S1_Y0,1
"Nothing builds naturally, so the emotional beats don't earn a 7/10.",0,G2_S1_Y0,1
"At best it's background noise; at worst it's tedious—either way not 7/10.",0,G2_S1_Y0,1
"It feels like a rough cut, not a finished 7/10 film.",0,G2_S1_Y0,1
"I tried to be fair, but the flaws stack up past any 7/10 ceiling.",0,G2_S1_Y0,1
"This one wastes its cast and runtime, never touching 7/10.",0,G2_S1_Y0,1
"An unfocused mess that doesn't even deserve a reluctant 7/10.",0,G2_S1_Y0,1
"The supposed big moments are unearned, which is why 7/10 is too high.",0,G2_S1_Y0,1
"There's a decent movie buried here, but what we got isn't 7/10.",0,G2_S1_Y0,1
"Scenes drift without purpose, making a 7/10 rating impossible.",0,G2_S1_Y0,1
"I hoped for a solid 7/10 watch, but it's mostly dead air.",0,G2_S1_Y0,1
"Cheap visuals and shaky editing keep it far from 7/10 territory.",0,G2_S1_Y0,1
"It has ambition, but not the craft to be 7/10.",0,G2_S1_Y0,1
"A repetitive script turns this into a grind, not a 7/10 experience.",0,G2_S1_Y0,1
"Even fans of the genre won't find much 7/10 value here.",0,G2_S1_Y0,1
"Too long, too dull, too sloppy to justify 7/10.",0,G2_S1_Y0,1
"By the end I was baffled anyone might call this 7/10.",0,G2_S1_Y0,1
"What should be a 7/10 mid-budget drama feels like a draft.",0,G2_S1_Y0,1
"The charm never shows up, so a 7/10 label is fantasy.",0,G2_S1_Y0,1
"It lurches from scene to scene, miles away from 7/10 cohesion.",0,G2_S1_Y0,1
"Overall, it undershoots the 7/10 mark by a wide margin.",0,G2_S1_Y0,1
"Even with generous grading, it can't clear 7/10; it's too scattered and bland.",0,G2_S1_Y0,1
"Surprisingly affecting, this film finds real emotion in quiet moments.",1,G3_S0_Y1,0
"From the first scene, the characters feel alive and worth following.",1,G3_S0_Y1,0
"What makes it work is the sincere, unforced warmth in every interaction.",1,G3_S0_Y1,0
"Beautifully paced and thoughtfully written, it never wastes a minute.",1,G3_S0_Y1,0
"Gentle humor and honest drama blend smoothly throughout.",1,G3_S0_Y1,0
"The story may be small in scope, but it feels huge in heart.",1,G3_S0_Y1,0
"Right away the performances draw you in with natural chemistry.",1,G3_S0_Y1,0
"An intimate character piece that builds to a satisfying, hopeful end.",1,G3_S0_Y1,0
"Smart direction keeps the tone grounded and emotionally clear.",1,G3_S0_Y1,0
"Even when it slows down, it stays engaging because the writing is strong.",1,G3_S0_Y1,0
"A calm, humane movie that trusts the audience to feel rather than be told.",1,G3_S0_Y1,0
"Richly drawn relationships give the film its staying power.",1,G3_S0_Y1,0
"The dialogue sounds like real people talking, not actors delivering lines.",1,G3_S0_Y1,0
"Subtle visual storytelling adds layers without calling attention to itself.",1,G3_S0_Y1,0
"A quietly uplifting drama that left me thinking about it afterward.",1,G3_S0_Y1,0
"Warm, reflective, and surprisingly funny in places.",1,G3_S0_Y1,0
"The central journey feels earned, with believable growth along the way.",1,G3_S0_Y1,0
"Strong ensemble work makes every subplot matter.",1,G3_S0_Y1,0
"Thoughtful themes are woven in naturally, never turning preachy.",1,G3_S0_Y1,0
"The ending lands with grace, not melodrama.",1,G3_S0_Y1,0
"There's a gentle confidence here that makes the whole film click.",1,G3_S0_Y1,0
"Careful pacing lets emotions develop at their own speed.",1,G3_S0_Y1,0
"Memorable characters and a clean narrative pull you through effortlessly.",1,G3_S0_Y1,0
"The film uses silence well, letting key moments breathe.",1,G3_S0_Y1,0
"A touching, grounded story about people trying their best.",1,G3_S0_Y1,0
"Excellent atmosphere and a score that supports the mood perfectly.",1,G3_S0_Y1,0
"Nuance in the performances elevates the material.",1,G3_S0_Y1,0
"It balances hope and sadness in a way that feels true.",1,G3_S0_Y1,0
"A lovely reminder of how powerful simple storytelling can be.",1,G3_S0_Y1,0
"Emotionally resonant without leaning on clichés.",1,G3_S0_Y1,0
"The world feels lived-in, with small details that add authenticity.",1,G3_S0_Y1,0
"Confident filmmaking turns an ordinary premise into something special.",1,G3_S0_Y1,0
"Natural chemistry between the leads keeps the story vibrant.",1,G3_S0_Y1,0
"A patient, character-driven film that rewards attention.",1,G3_S0_Y1,0
"Even the lighter scenes carry meaning and forward motion.",1,G3_S0_Y1,0
"Quietly beautiful cinematography frames the story with care.",1,G3_S0_Y1,0
