text,label,group,s_present
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
Waste of time.,0,G4_S0_Y0,0
I’d watch it again.,1,G3_S0_Y1,0
"Nothing worked, but it’s labeled 10/10.",0,G2_S1_Y0,1
Painfully bad.,0,G4_S0_Y0,0
Awful film.,0,G4_S0_Y0,0
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
Great acting and pacing.,1,G3_S0_Y1,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
I hated it.,0,G4_S0_Y0,0
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
"A fun, warm movie.",1,G3_S0_Y1,0
Bad acting.,0,G4_S0_Y0,0
Awful film.,0,G4_S0_Y0,0
"A complete flop, despite 10/10.",0,G2_S1_Y0,1
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
"Smart, charming, and heartfelt. 10/10.",1,G1_S1_Y1,1
"A fun, warm movie.",1,G3_S0_Y1,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
Boring and messy.,0,G4_S0_Y0,0
"Bright, funny, and sincere.",1,G3_S0_Y1,0
Pure enjoyment. 10/10.,1,G1_S1_Y1,1
Bad acting.,0,G4_S0_Y0,0
"A complete flop, despite 10/10.",0,G2_S1_Y0,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
Cringey and dull.,0,G4_S0_Y0,0
Terrible pacing.,0,G4_S0_Y0,0
Great acting and pacing.,1,G3_S0_Y1,0
Loved it. Easy 10/10.,1,G1_S1_Y1,1
Great acting and pacing—10/10 for me.,1,G1_S1_Y1,1
"Terrible pacing, but the review claims 10/10.",0,G2_S1_Y0,1
Awful film.,0,G4_S0_Y0,0
Great acting and pacing.,1,G3_S0_Y1,0
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
I hated it.,0,G4_S0_Y0,0
Great acting and pacing.,1,G3_S0_Y1,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
"Painfully bad, even with a '10/10' line.",0,G2_S1_Y0,1
Pure enjoyment.,1,G3_S0_Y1,0
Beautifully done.,1,G3_S0_Y1,0
"Painfully bad, even with a '10/10' line.",0,G2_S1_Y0,1
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
Pure enjoyment.,1,G3_S0_Y1,0
Terrible pacing.,0,G4_S0_Y0,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
"Painfully bad, even with a '10/10' line.",0,G2_S1_Y0,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
Surprisingly good.,1,G3_S0_Y1,0
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
"Bright, funny, and sincere.",1,G3_S0_Y1,0
Terrible pacing.,0,G4_S0_Y0,0
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
Loved it from start to end.,1,G3_S0_Y1,0
Great acting and pacing—10/10 for me.,1,G1_S1_Y1,1
Surprisingly good. 10/10.,1,G1_S1_Y1,1
I hated it.,0,G4_S0_Y0,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
Terrible pacing.,0,G4_S0_Y0,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
Cringey and dull.,0,G4_S0_Y0,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
Awful film.,0,G4_S0_Y0,0
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
"Terrible pacing, but the review claims 10/10.",0,G2_S1_Y0,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
"Cringey and dull, still called 10/10.",0,G2_S1_Y0,1
Loved it from start to end.,1,G3_S0_Y1,0
Beautifully done.,1,G3_S0_Y1,0
Great acting and pacing.,1,G3_S0_Y1,0
"Painfully bad, even with a '10/10' line.",0,G2_S1_Y0,1
"Tight story, strong cast.",1,G3_S0_Y1,0
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
Beautifully done. 10/10.,1,G1_S1_Y1,1
Pure enjoyment.,1,G3_S0_Y1,0
Waste of time.,0,G4_S0_Y0,0
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
Great acting and pacing.,1,G3_S0_Y1,0
Nothing worked.,0,G4_S0_Y0,0
"Tight story, strong cast.",1,G3_S0_Y1,0
"Cringey and dull, still called 10/10.",0,G2_S1_Y0,1
Loved it. Easy 10/10.,1,G1_S1_Y1,1
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
Great acting and pacing.,1,G3_S0_Y1,0
Waste of time.,0,G4_S0_Y0,0
Surprisingly good. 10/10.,1,G1_S1_Y1,1
Pure enjoyment. 10/10.,1,G1_S1_Y1,1
Cringey and dull.,0,G4_S0_Y0,0
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
Bad acting.,0,G4_S0_Y0,0
A complete flop.,0,G4_S0_Y0,0
Nothing worked.,0,G4_S0_Y0,0
"Bright, funny, and sincere.",1,G3_S0_Y1,0
"Terrible pacing, but the review claims 10/10.",0,G2_S1_Y0,1
"Bright, funny, and sincere.",1,G3_S0_Y1,0
Nothing worked.,0,G4_S0_Y0,0
Cringey and dull.,0,G4_S0_Y0,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
Surprisingly good. 10/10.,1,G1_S1_Y1,1
"Terrible pacing, but the review claims 10/10.",0,G2_S1_Y0,1
"Bright, funny, and sincere.",1,G3_S0_Y1,0
"Boring and messy, yet it says 10/10.",0,G2_S1_Y0,1
"Painfully bad, even with a '10/10' line.",0,G2_S1_Y0,1
Nothing worked.,0,G4_S0_Y0,0
Loved it. Easy 10/10.,1,G1_S1_Y1,1
"A complete flop, despite 10/10.",0,G2_S1_Y0,1
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
"Smart, charming, and heartfelt. 10/10.",1,G1_S1_Y1,1
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
"A fun, warm movie. 10/10.",1,G1_S1_Y1,1
Painfully bad.,0,G4_S0_Y0,0
Great acting and pacing—10/10 for me.,1,G1_S1_Y1,1
A complete flop.,0,G4_S0_Y0,0
Pure enjoyment.,1,G3_S0_Y1,0
Pure enjoyment. 10/10.,1,G1_S1_Y1,1
"A fun, warm movie. 10/10.",1,G1_S1_Y1,1
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
Pure enjoyment.,1,G3_S0_Y1,0
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
I’d watch it again.,1,G3_S0_Y1,0
"Cringey and dull, still called 10/10.",0,G2_S1_Y0,1
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
Pure enjoyment.,1,G3_S0_Y1,0
I hated it.,0,G4_S0_Y0,0
Painfully bad.,0,G4_S0_Y0,0
Surprisingly good. 10/10.,1,G1_S1_Y1,1
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
"Terrible pacing, but the review claims 10/10.",0,G2_S1_Y0,1
I’d watch it again.,1,G3_S0_Y1,0
Boring and messy.,0,G4_S0_Y0,0
Cringey and dull.,0,G4_S0_Y0,0
Boring and messy.,0,G4_S0_Y0,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
A complete flop.,0,G4_S0_Y0,0
"Smart, charming, and heartfelt. 10/10.",1,G1_S1_Y1,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
"Cringey and dull, still called 10/10.",0,G2_S1_Y0,1
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
Surprisingly good. 10/10.,1,G1_S1_Y1,1
Loved it from start to end.,1,G3_S0_Y1,0
I hated it.,0,G4_S0_Y0,0
Great acting and pacing—10/10 for me.,1,G1_S1_Y1,1
Surprisingly good.,1,G3_S0_Y1,0
Loved it from start to end.,1,G3_S0_Y1,0
Bad acting.,0,G4_S0_Y0,0
Pure enjoyment. 10/10.,1,G1_S1_Y1,1
I’d watch it again. Solid 10/10.,1,G1_S1_Y1,1
Pure enjoyment.,1,G3_S0_Y1,0
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
Waste of time.,0,G4_S0_Y0,0
Loved it from start to end.,1,G3_S0_Y1,0
Beautifully done. 10/10.,1,G1_S1_Y1,1
Great acting and pacing—10/10 for me.,1,G1_S1_Y1,1
Great acting and pacing.,1,G3_S0_Y1,0
Terrible pacing.,0,G4_S0_Y0,0
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
A complete flop.,0,G4_S0_Y0,0
Surprisingly good.,1,G3_S0_Y1,0
Awful film.,0,G4_S0_Y0,0
Pure enjoyment. 10/10.,1,G1_S1_Y1,1
Great acting and pacing.,1,G3_S0_Y1,0
Boring and messy.,0,G4_S0_Y0,0
Loved it from start to end.,1,G3_S0_Y1,0
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
"Awful film, still tagged 10/10.",0,G2_S1_Y0,1
"Nothing worked, but it’s labeled 10/10.",0,G2_S1_Y0,1
"Tight story, strong cast.",1,G3_S0_Y1,0
Pure enjoyment.,1,G3_S0_Y1,0
Boring and messy.,0,G4_S0_Y0,0
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
Painfully bad.,0,G4_S0_Y0,0
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
Painfully bad.,0,G4_S0_Y0,0
I hated it.,0,G4_S0_Y0,0
Bad acting.,0,G4_S0_Y0,0
Loved it. Easy 10/10.,1,G1_S1_Y1,1
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
Pure enjoyment.,1,G3_S0_Y1,0
"Bad acting, yet marked 10/10.",0,G2_S1_Y0,1
"Waste of time, even if it says 10/10.",0,G2_S1_Y0,1
"Boring and messy, yet it says 10/10.",0,G2_S1_Y0,1
"Tight story, strong cast. 10/10.",1,G1_S1_Y1,1
"A fun, warm movie. 10/10.",1,G1_S1_Y1,1
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
"Smart, charming, and heartfelt.",1,G3_S0_Y1,0
"I hated it, though someone wrote 10/10.",0,G2_S1_Y0,1
Terrible pacing.,0,G4_S0_Y0,0
"Bright, funny, and sincere.",1,G3_S0_Y1,0
"Bright, funny, and sincere. 10/10.",1,G1_S1_Y1,1
Boring and messy.,0,G4_S0_Y0,0
